,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
1,6162,273,41.3926176,2.1680542,801902078.0,8007.0,1,3,1,0,2
2,1750,175,41.3938787,2.1537533,801902085.0,8036.0,-1,1,1,0,1
4,1290,140,41.3935324,2.1597041,801902088.0,8008.0,0,1,1,0,1
5,4000,620,41.3980433,2.1745968,801902066.0,8013.0,0,3,0,0,2
12,1500,125,41.3893421,2.1690957,801902078.0,8007.0,0,1,1,0,1
15,750,67,41.3870239,2.1749814,801901052.0,8003.0,2,1,1,0,1
18,2750,90,41.395757,2.1551159,801905068.0,8006.0,0,1,0,0,1
28,1800,234,41.3832759,2.1719952,801901022.0,8002.0,2,2,1,0,2
29,1300,91,41.3818708,2.1763598,801901029.0,8002.0,0,1,0,0,1
30,700,50,41.3975329,2.1491536,801905067.0,8006.0,4,1,1,0,1
34,1408,128,41.4009403,2.1421504,801905051.0,8021.0,0,0,0,0,1
35,2913,224,41.3791826,2.1277193,801904037.0,8028.0,0,0,0,0,2
36,880,80,41.3985403,2.1426504,801905051.0,8021.0,0,0,0,0,1
37,2913,224,41.3806826,2.1257193,801904037.0,8028.0,0,0,0,0,2
38,1127,112,41.3988858,2.1750559,801902061.0,8013.0,0,0,0,0,1
39,2673,243,41.3811913,2.1624247,801902163.0,8011.0,0,0,0,0,2
40,2842,281,41.3795198,2.1665681,801901007.0,8001.0,0,0,0,0,2
41,1127,112,41.4003858,2.1730559,801902061.0,8013.0,0,0,0,0,1
42,1375,105,41.3781826,2.1259193,801904037.0,8028.0,0,0,0,0,1
54,4829,302,41.3962917,2.1678885,801902064.0,8009.0,0,1,0,0,2
58,1973,87,41.3992454,2.1593937,801902082.0,8037.0,0,1,0,0,1
59,1891,187,41.39462,2.1284836,801905019.0,8034.0,0,2,0,0,1
60,6692,418,41.3984508,2.1889055,801910043.0,8018.0,2,2,1,0,2
62,23213,1451,41.3977508,2.1889055,801910043.0,8018.0,1,2,1,0,3
64,4551,284,41.3985508,2.1893055,801910043.0,8018.0,1,2,1,0,2
68,1696,106,41.3896684,2.1634973,801902079.0,8007.0,7,2,1,0,1
69,3000,162,41.389483,2.1682066,801902078.0,8007.0,0,1,0,0,1
72,2803,110,41.3944684,2.1552731,801902083.0,8008.0,7,1,1,0,1
73,2500,182,41.3930951,2.1632153,801902080.0,8009.0,4,2,1,0,1
75,13541,502,41.3929658,2.1469302,801902108.0,8036.0,11,4,1,0,2
81,1300,100,41.3803708,2.1770598,801901029.0,8002.0,0,1,0,0,1
86,975,76,41.3892697,2.1580363,801902090.0,8011.0,5,1,1,0,1
88,500,45,41.3990855,2.1454657,801905074.0,8021.0,0,1,1,0,1
91,998,64,41.3913311,2.1614878,801902081.0,8007.0,3,2,1,0,1
95,1200,76,41.3929311,2.1620878,801902081.0,8007.0,4,2,1,0,1
96,16000,1650,41.395914,2.1391635,801905053.0,8021.0,0,0,0,0,3
97,650,39,41.4049047,2.1666913,801906067.0,8037.0,2,1,1,0,1
98,4284,238,41.3913657,2.1639119,801902081.0,8008.0,1,2,1,0,2
99,1150,120,41.392899,2.16283,801902081.0,8008.0,1,2,1,0,1
108,1550,400,41.3924108,2.1690995,801902078.0,8009.0,1,4,1,0,2
111,1100,77,41.3787005,2.1560292,801902158.0,8015.0,1,0,1,0,1
113,3000,120,41.4022595,2.1377739,801905050.0,8021.0,0,0,0,0,1
114,1023,115,41.3789302,2.1304371,801903087.0,8028.0,0,1,0,0,1
115,1973,87,41.3962454,2.1623937,801902082.0,8037.0,7,0,1,0,1
118,1000,95,41.397573,2.1715195,801902065.0,8009.0,7,0,1,0,1
124,10787,469,41.4032217,2.1910428,801910042.0,8018.0,2,2,1,0,2
129,4320,240,41.3909657,2.1636119,801902081.0,8007.0,0,0,0,0,2
130,2500,90,41.394657,2.1531159,801905068.0,8006.0,4,1,1,0,1
131,6923,301,41.4069217,2.1937428,801910042.0,8018.0,2,2,1,0,2
156,6270,330,41.391785,2.1506442,801902106.0,8006.0,6,2,1,0,2
158,2700,183,41.3919066,2.1568579,801902088.0,8036.0,0,0,1,0,1
165,1125,90,41.3956818,2.1523445,801905067.0,8006.0,1,1,1,0,1
169,4000,200,41.3957641,2.1553222,801905068.0,8006.0,0,0,0,0,2
173,12000,600,41.3957641,2.1553222,801905068.0,8006.0,0,0,0,0,2
177,16912,605,41.3931377,2.1538025,801905067.0,8006.0,9,3,1,0,2
179,6900,300,41.392158,2.1421817,801904019.0,8029.0,10,0,1,0,2
180,3360,160,41.393158,2.1448817,801904019.0,8029.0,2,0,0,0,1
181,3230,170,41.3918417,2.162315,801902081.0,8007.0,1,0,0,0,1
182,7524,396,41.3916742,2.1652594,801902081.0,8007.0,3,0,0,0,2
183,4500,402,41.3986535,2.1908903,801910042.0,8018.0,5,3,1,0,2
189,2673,243,41.3811913,2.1589247,801902163.0,8011.0,3,2,1,0,2
191,2912,224,41.3794437,2.128418,801904037.0,8028.0,5,3,1,0,2
194,4025,161,41.3868809,2.1233894,801904052.0,8028.0,0,0,0,0,1
201,2350,212,41.3971102,2.1512491,801905067.0,8006.0,3,2,1,0,2
205,1100,110,41.3776049,2.1525827,801902152.0,8015.0,0,2,1,0,1
206,1100,110,41.3772049,2.1527827,801902152.0,8015.0,0,2,1,0,1
207,11952,664,41.3987264,2.1924961,801910043.0,8005.0,0,6,0,0,2
208,925,170,41.403131,2.1412101,801905077.0,8006.0,4,0,1,0,1
209,8050,460,41.3898221,2.1677419,801902077.0,8007.0,0,3,1,0,2
212,2250,175,41.3884578,2.1405584,801904017.0,8029.0,0,0,1,0,1
214,1600,110,41.396279,2.1648699,801902063.0,8037.0,2,1,1,0,1
216,1600,156,41.408838,2.1565711,801906035.0,8024.0,0,1,0,0,1
219,750,85,41.3937091,2.1790443,801902005.0,8013.0,3,0,1,0,1
220,800,80,41.394238,2.1771695,801902005.0,8013.0,1,0,1,0,1
240,15124,504,41.3893019,2.1291766,801904024.0,8034.0,0,0,0,0,2
241,15727,524,41.3893019,2.1291766,801904024.0,8034.0,0,0,0,0,2
242,12081,402,41.3893019,2.1291766,801904024.0,8034.0,0,0,0,0,2
243,13991,466,41.3893019,2.1291766,801904024.0,8034.0,0,0,0,0,2
244,16949,564,41.3893019,2.1291766,801904024.0,8034.0,0,0,0,0,2
249,1500,124,41.4003007,2.1426891,801905076.0,8006.0,2,2,1,0,1
251,7125,475,41.3928854,2.1567325,801902083.0,8008.0,6,0,1,0,2
252,3500,204,41.3968205,2.1507825,801905067.0,8006.0,6,0,1,0,2
253,3752,193,41.391527,2.174002,801902076.0,8010.0,6,0,1,0,1
254,2850,190,41.3742024,2.1454716,801903055.0,8014.0,4,0,1,0,1
256,8400,840,41.4289451,2.1857386,801909055.0,8027.0,3,0,1,0,3
257,3619,329,41.3716024,2.1422716,801903055.0,8014.0,3,0,1,0,2
258,4200,420,41.4283451,2.1828386,801909055.0,8027.0,2,0,1,0,2
259,5160,258,41.3956246,2.1533278,801902085.0,8008.0,2,0,1,0,2
260,7958,346,41.3941975,2.1617598,801902081.0,8007.0,3,0,1,0,2
261,2275,210,41.4279236,2.1871653,801909055.0,8027.0,1,0,1,0,2
262,650,51,41.4117516,2.1770907,801910008.0,8041.0,1,1,1,0,1
264,4284,238,41.3919657,2.1636119,801902081.0,8008.0,2,2,1,0,2
265,4000,241,41.3925657,2.1623119,801902081.0,8007.0,2,3,1,0,2
266,4626,231,41.3960869,2.1589281,801902083.0,8008.0,3,2,1,0,2
268,3900,190,41.3951679,2.1604695,801902083.0,8008.0,5,2,1,0,1
269,2800,205,41.3819781,2.1515597,801902148.0,8015.0,3,3,1,0,2
270,2900,180,41.3892647,2.164145,801902079.0,8007.0,7,0,1,0,1
271,3950,240,41.389203,2.1619279,801902079.0,8007.0,5,0,1,0,2
273,995,180,41.3961628,2.1766506,801902017.0,8013.0,0,1,1,0,1
277,480,32,41.4127495,2.1879711,801909095.0,8027.0,0,1,0,0,1
281,11000,705,41.3894734,2.1669985,801902077.0,8007.0,0,0,1,0,2
286,1200,118,41.3827456,2.1557013,801902139.0,8015.0,0,1,0,0,1
292,645,50,41.4073062,2.1827941,801910014.0,8026.0,0,1,1,0,1
296,20593,649,41.3987434,2.2030905,801910061.0,8005.0,0,0,0,0,2
297,16870,528,41.3987434,2.2030905,801910061.0,8005.0,0,0,0,0,2
298,7923,237,41.3987434,2.2030905,801910061.0,8005.0,0,0,0,0,2
299,1800,125,41.3958761,2.1928637,801910043.0,8005.0,8,1,1,0,1
305,3950,240,41.3919951,2.1649336,801902079.0,8007.0,6,2,1,0,2
306,7900,480,41.3894951,2.1658336,801902079.0,8007.0,5,2,1,0,2
317,1995,222,41.4037188,2.1484918,801905082.0,8006.0,1,1,1,0,2
