,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
62,23213,1451,41.3977508,2.1889055,801910043.0,8018.0,1,2,1,0,3
96,16000,1650,41.395914,2.1391635,801905053.0,8021.0,0,0,0,0,3
256,8400,840,41.4289451,2.1857386,801909055.0,8027.0,3,0,1,0,3
335,72670,3116,41.3995972,2.1949227,801910042.0,8018.0,2,3,1,0,3
358,36301,1815,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
359,36301,1815,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
360,18035,901,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
361,24596,1229,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
362,16410,820,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
364,16604,830,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
365,29794,1489,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
366,18035,901,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
367,18035,901,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
368,18035,901,41.4122045,2.2077883,801910094.0,8019.0,0,0,0,0,3
388,51250,2050,41.372992,2.179603,801901001.0,8039.0,0,0,0,0,3
454,11525,992,41.3399325,2.1214544,801903025.0,8040.0,3,2,1,0,3
455,31925,2554,41.3410325,2.1214544,801903025.0,8040.0,2,2,1,0,3
465,77125,6170,41.3392325,2.1216544,801903025.0,8040.0,1,2,1,0,3
478,52459,2761,41.4018542,2.1522187,801906041.0,8012.0,0,0,0,0,3
479,41686,2194,41.4018542,2.1522187,801906041.0,8012.0,0,0,0,0,3
480,52934,2786,41.4018542,2.1522187,801906041.0,8012.0,0,0,0,0,3
481,44175,2325,41.4018542,2.1522187,801906041.0,8012.0,0,0,0,0,3
585,23213,1451,41.3956508,2.1888055,801910043.0,8018.0,1,6,1,0,3
587,12954,810,41.3992508,2.1899055,801910043.0,8018.0,2,6,1,0,3
612,36600,1464,41.3954492,2.1631895,801902082.0,8036.0,5,3,1,0,3
614,24400,976,41.3987492,2.1637895,801902082.0,8036.0,4,2,1,0,3
626,46592,1664,41.3887081,2.1291574,801904028.0,8028.0,2,2,1,0,3
628,32130,1190,41.3884363,2.1948559,801910055.0,8005.0,33,0,1,0,3
629,28550,1142,41.3897363,2.1941559,801910055.0,8005.0,11,2,1,0,3
666,11610,860,41.4025951,2.1709907,801902056.0,8025.0,3,2,1,0,3
684,28110,1004,41.3867081,2.1291574,801904028.0,8028.0,4,2,1,0,3
688,38787,1847,41.4074908,2.20305,801910069.0,8005.0,2,2,1,0,3
689,52920,2520,41.4073908,2.20055,801910069.0,8005.0,3,6,1,0,3
690,35280,1680,41.4073818,2.2016429,801910069.0,8005.0,4,4,1,0,3
692,24480,1360,41.4076744,2.2102027,801910076.0,8019.0,2,2,1,0,3
695,88200,4200,41.4079908,2.20165,801910069.0,8005.0,1,10,1,0,3
737,27600,1104,41.389691,2.134142,801904022.0,8029.0,6,2,1,0,3
