,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
3,950,83,40.4414472,-3.7047647,2807907106.0,28003.0,0,1,0,0,1
6,10000,450,40.4257884,-3.6873495,2807904004.0,28001.0,3,3,1,0,2
7,850,86,40.4283706,-3.6992011,2807907073.0,28010.0,5,1,0,0,1
8,2000,97,40.4375826,-3.6235264,2807920125.0,28037.0,3,1,0,0,1
9,2500,243,40.4397974,-3.698294,2807907098.0,28003.0,3,3,0,0,2
11,800,32,40.4133429,-3.7033749,2807901027.0,28012.0,1,1,1,0,1
13,2200,198,40.4034808,-3.6992263,2807902071.0,28012.0,0,2,1,1,1
14,20690,1061,40.4859017,-3.6698909,2807916106.0,28050.0,6,0,1,0,3
16,18960,1600,40.5126561,-3.6732086,2807908174.0,28050.0,4,2,1,0,3
17,8808,367,40.4366284,-3.6958465,2807907092.0,28003.0,1,3,1,0,2
19,6000,380,40.4393646,-3.6886638,2807905002.0,28006.0,1,2,1,0,2
22,2200,136,40.4259418,-3.7121458,2807909016.0,28008.0,2,2,1,0,1
23,6146,455,40.4336035,-3.6319403,2807920100.0,28037.0,0,2,1,0,2
24,6098,381,40.4977451,-3.6706735,2807908171.0,28050.0,4,2,1,0,2
26,4215,281,40.4491358,-3.6553046,2807915149.0,28043.0,0,2,1,0,2
27,1700,204,40.4375004,-3.6265093,2807920119.0,28037.0,3,2,1,0,2
31,900,110,40.4764693,-3.7066728,2807908081.0,28029.0,2,2,1,0,1
32,12538,425,40.4358958,-3.6881954,2807904118.0,28046.0,1,2,1,0,2
33,11625,375,40.436484,-3.6948275,2807907094.0,28003.0,0,2,1,0,2
43,12617,407,40.4338473,-3.6919104,2807907093.0,28010.0,3,2,1,0,2
44,450,38,40.4383707,-3.6819116,2807904123.0,28006.0,0,1,0,0,1
45,750,48,40.4318985,-3.6493535,2807915040.0,28017.0,0,1,1,0,1
46,3801,220,40.4625208,-3.6923702,2807906065.0,28020.0,2,0,1,0,2
47,23346,1297,40.4614028,-3.6165977,2807921029.0,28042.0,4,0,1,0,3
48,50141,2639,40.4622028,-3.6143977,2807921029.0,28042.0,5,0,1,0,3
49,12243,742,40.4547915,-3.6556912,2807915174.0,28043.0,5,0,1,0,2
50,3432,156,40.4729064,-3.6756398,2807905101.0,28036.0,2,0,0,0,1
51,46376,2108,40.3910388,-3.6793833,2807902103.0,28045.0,4,0,1,0,3
52,3552,296,40.4864853,-3.6593073,2807916106.0,28050.0,6,0,1,0,2
53,5760,288,40.4702629,-3.6843261,2807905094.0,28036.0,2,0,1,0,2
55,5580,310,40.4621028,-3.6132977,2807921029.0,28042.0,2,0,1,0,2
56,8586,477,40.4604028,-3.6146977,2807921029.0,28042.0,2,0,1,0,2
57,9180,510,40.4598028,-3.6137977,2807921029.0,28042.0,2,0,1,0,2
61,4450,300,40.4287339,-3.6905239,2807907081.0,28010.0,1,3,1,0,2
63,33237,1231,40.4271194,-3.6875473,2807904006.0,28001.0,1,2,1,0,3
65,9900,396,40.4295194,-3.6871473,2807904006.0,28001.0,3,0,1,0,2
66,4500,150,40.4801859,-3.685648,2807908098.0,28046.0,30,4,1,0,1
67,1600,90,40.4437351,-3.7162127,2807907132.0,28003.0,0,2,0,1,1
70,3000,325,40.4426282,-3.6739308,2807905018.0,28002.0,1,3,0,0,2
71,2500,120,40.42155,-3.7086286,2807901003.0,28013.0,7,2,1,0,1
74,11250,1500,40.4908323,-3.6941295,2807908111.0,28034.0,1,4,1,1,3
77,3500,139,40.4510386,-3.6879599,2807905004.0,28046.0,7,0,1,0,1
78,2950,228,40.4279492,-3.6709351,2807904035.0,28009.0,3,2,1,0,2
82,2400,220,40.4666825,-3.6777579,2807905077.0,28036.0,-1,2,0,1,2
83,950,55,40.4432087,-3.7024851,2807907106.0,28003.0,5,1,1,0,1
84,25000,1200,40.4384483,-3.6944797,2807907092.0,28010.0,0,11,0,0,3
85,1350,125,40.4851465,-3.7115632,2807908033.0,28034.0,-1,2,0,1,1
87,25925,1037,40.4330266,-3.6986396,2807907057.0,28010.0,1,2,1,0,3
89,9250,530,40.4151884,-3.693183,2807903070.0,28014.0,2,2,1,1,2
90,7752,456,40.4586418,-3.694781,2807906064.0,28020.0,2,2,1,0,2
92,5000,340,40.4352484,-3.6991542,2807907065.0,28010.0,1,2,1,1,2
93,800,60,40.4361273,-3.6456955,2807915106.0,28027.0,0,2,0,0,1
94,17005,895,40.4356063,-3.6971805,2807907068.0,28010.0,1,5,1,0,3
100,4820,482,40.4855274,-3.666398,2807916106.0,28050.0,1,0,1,0,2
101,20192,1262,40.4495734,-3.6286687,2807920099.0,28027.0,6,0,1,0,3
102,8688,543,40.4475734,-3.6307687,2807920099.0,28027.0,6,0,1,0,2
103,4420,230,40.4583419,-3.6904279,2807906064.0,28020.0,10,0,1,0,2
104,13250,530,40.438345,-3.6789324,2807905001.0,28006.0,8,0,1,0,2
105,13377,637,40.4391106,-3.693162,2807907094.0,28003.0,5,0,0,0,2
106,5876,511,40.4349636,-3.6223457,2807920119.0,28037.0,4,0,0,0,2
107,4841,421,40.4381636,-3.6221457,2807920119.0,28037.0,2,0,0,0,2
109,2400,140,40.4313407,-3.6914452,2807907081.0,28010.0,0,2,1,0,1
110,2400,140,40.4313407,-3.6914452,2807907081.0,28010.0,0,2,1,0,1
112,525,120,40.4651631,-3.6903552,2807905070.0,28046.0,6,2,1,0,1
116,2000,300,40.4189191,-3.6709113,2807903050.0,28009.0,0,1,0,0,2
117,950,88,40.4428472,-3.7048647,2807907106.0,28003.0,0,2,1,0,1
119,2176,229,40.4510349,-3.5798394,2807921015.0,28042.0,0,0,1,0,2
120,1570,157,40.4522662,-3.5776987,2807921015.0,28042.0,2,0,1,0,1
121,4420,442,40.4460036,-3.5395576,2807920120.0,28022.0,1,0,1,0,2
122,7955,796,40.4517662,-3.5774987,2807921015.0,28042.0,4,0,1,1,2
125,2200,130,40.4510052,-3.6946284,2807906029.0,28020.0,1,0,1,0,1
