,ad_price,ad_area,ad_latitude,ad_longitude,censustract_id,ad_postalcode,ad_floornumber,ad_bathnumber,ad_haslift,ad_hasparkingspace,tamaños
6,10000,450,40.4257884,-3.6873495,2807904004.0,28001.0,3,3,1,0,2
9,2500,243,40.4397974,-3.698294,2807907098.0,28003.0,3,3,0,0,2
17,8808,367,40.4366284,-3.6958465,2807907092.0,28003.0,1,3,1,0,2
19,6000,380,40.4393646,-3.6886638,2807905002.0,28006.0,1,2,1,0,2
23,6146,455,40.4336035,-3.6319403,2807920100.0,28037.0,0,2,1,0,2
24,6098,381,40.4977451,-3.6706735,2807908171.0,28050.0,4,2,1,0,2
26,4215,281,40.4491358,-3.6553046,2807915149.0,28043.0,0,2,1,0,2
27,1700,204,40.4375004,-3.6265093,2807920119.0,28037.0,3,2,1,0,2
32,12538,425,40.4358958,-3.6881954,2807904118.0,28046.0,1,2,1,0,2
33,11625,375,40.436484,-3.6948275,2807907094.0,28003.0,0,2,1,0,2
43,12617,407,40.4338473,-3.6919104,2807907093.0,28010.0,3,2,1,0,2
46,3801,220,40.4625208,-3.6923702,2807906065.0,28020.0,2,0,1,0,2
49,12243,742,40.4547915,-3.6556912,2807915174.0,28043.0,5,0,1,0,2
52,3552,296,40.4864853,-3.6593073,2807916106.0,28050.0,6,0,1,0,2
53,5760,288,40.4702629,-3.6843261,2807905094.0,28036.0,2,0,1,0,2
55,5580,310,40.4621028,-3.6132977,2807921029.0,28042.0,2,0,1,0,2
56,8586,477,40.4604028,-3.6146977,2807921029.0,28042.0,2,0,1,0,2
57,9180,510,40.4598028,-3.6137977,2807921029.0,28042.0,2,0,1,0,2
61,4450,300,40.4287339,-3.6905239,2807907081.0,28010.0,1,3,1,0,2
65,9900,396,40.4295194,-3.6871473,2807904006.0,28001.0,3,0,1,0,2
70,3000,325,40.4426282,-3.6739308,2807905018.0,28002.0,1,3,0,0,2
78,2950,228,40.4279492,-3.6709351,2807904035.0,28009.0,3,2,1,0,2
82,2400,220,40.4666825,-3.6777579,2807905077.0,28036.0,-1,2,0,1,2
89,9250,530,40.4151884,-3.693183,2807903070.0,28014.0,2,2,1,1,2
90,7752,456,40.4586418,-3.694781,2807906064.0,28020.0,2,2,1,0,2
92,5000,340,40.4352484,-3.6991542,2807907065.0,28010.0,1,2,1,1,2
100,4820,482,40.4855274,-3.666398,2807916106.0,28050.0,1,0,1,0,2
102,8688,543,40.4475734,-3.6307687,2807920099.0,28027.0,6,0,1,0,2
103,4420,230,40.4583419,-3.6904279,2807906064.0,28020.0,10,0,1,0,2
104,13250,530,40.438345,-3.6789324,2807905001.0,28006.0,8,0,1,0,2
105,13377,637,40.4391106,-3.693162,2807907094.0,28003.0,5,0,0,0,2
106,5876,511,40.4349636,-3.6223457,2807920119.0,28037.0,4,0,0,0,2
107,4841,421,40.4381636,-3.6221457,2807920119.0,28037.0,2,0,0,0,2
116,2000,300,40.4189191,-3.6709113,2807903050.0,28009.0,0,1,0,0,2
119,2176,229,40.4510349,-3.5798394,2807921015.0,28042.0,0,0,1,0,2
121,4420,442,40.4460036,-3.5395576,2807920120.0,28022.0,1,0,1,0,2
122,7955,796,40.4517662,-3.5774987,2807921015.0,28042.0,4,0,1,1,2
126,13000,515,40.4332795,-3.6919208,2807907081.0,28010.0,1,0,1,0,2
128,7752,457,40.4579418,-3.692581,2807906064.0,28020.0,2,3,1,0,2
132,5000,250,40.4267181,-3.7146499,2807901107.0,28008.0,0,3,1,0,2
133,12404,443,40.4267963,-3.692869,2807901084.0,28004.0,3,0,1,0,2
135,11877,742,40.4566471,-3.6541944,2807915174.0,28043.0,8,2,1,0,2
136,4078,233,40.464183,-3.6159251,2807921029.0,28042.0,0,4,1,0,2
138,6515,467,40.5108126,-3.6732458,2807908174.0,28050.0,4,0,1,0,2
141,6557,470,40.5127126,-3.6738458,2807908174.0,28050.0,4,0,1,0,2
142,6975,500,40.5133126,-3.6753458,2807908174.0,28050.0,4,0,1,0,2
143,3216,201,40.4490474,-3.7039773,2807906023.0,28046.0,5,2,1,0,2
144,9305,667,40.5113126,-3.6760458,2807908174.0,28050.0,4,0,1,0,2
145,5500,357,40.4472018,-3.7060748,2807906023.0,28020.0,10,2,1,0,2
147,8105,581,40.5111126,-3.6726458,2807908174.0,28050.0,4,0,1,0,2
151,7264,484,40.4997223,-3.6605081,2807916125.0,28050.0,0,2,1,0,2
157,10050,335,40.4505655,-3.6917622,2807906029.0,28046.0,10,2,1,0,2
159,9760,488,40.4489568,-3.7148732,2807909037.0,28040.0,3,2,1,0,2
161,3000,262,40.4284946,-3.6649263,2807904058.0,28028.0,1,2,1,0,2
162,2655,295,40.4869466,-3.6694151,2807916106.0,28050.0,6,2,1,0,2
163,20808,578,40.438259,-3.688452,2807904130.0,28046.0,4,0,1,0,2
164,3500,300,40.4237468,-3.6802296,2807904014.0,28009.0,2,2,1,0,2
171,11504,719,40.4490734,-3.6301687,2807920099.0,28027.0,6,0,1,0,2
172,12617,407,40.435558,-3.6903847,2807907093.0,28010.0,3,0,0,0,2
174,10800,600,40.4529626,-3.6936245,2807906029.0,28020.0,1,0,1,0,2
176,8000,280,40.412705,-3.696776,2807901066.0,28014.0,0,0,0,0,2
184,5328,333,40.4647675,-3.6920696,2807906072.0,28020.0,3,0,1,0,2
188,6894,373,40.4737382,-3.674758,2807905101.0,28036.0,14,2,1,0,2
190,1000,250,40.412705,-3.696776,2807901066.0,28014.0,0,0,0,0,2
195,16619,616,40.4283956,-3.6877926,2807904006.0,28001.0,1,0,1,0,2
197,6905,521,40.4994183,-3.6669517,2807908171.0,28050.0,4,2,1,0,2
198,10875,725,40.4462385,-3.6590561,2807915148.0,28043.0,2,0,1,0,2
199,4423,442,40.4494838,-3.5800825,2807921015.0,28042.0,1,2,1,0,2
200,8400,560,40.4472385,-3.6562561,2807915148.0,28043.0,1,0,1,0,2
202,2092,209,40.4517838,-3.5795825,2807921015.0,28042.0,3,2,1,0,2
203,2900,200,40.4560266,-3.6905204,2807906063.0,28046.0,0,2,1,0,2
204,6344,604,40.4367541,-3.6291262,2807920119.0,28037.0,2,2,1,0,2
211,9650,386,40.4237622,-3.6934728,2807901073.0,28004.0,5,2,1,0,2
213,10907,340,40.4666939,-3.6880765,2807905087.0,28046.0,0,4,1,0,2
215,18189,568,40.4666939,-3.6880765,2807905087.0,28046.0,5,4,1,0,2
217,3010,215,40.4362627,-3.6287256,2807920001.0,28037.0,4,2,1,0,2
221,7784,556,40.4343107,-3.6341277,2807920001.0,28037.0,2,2,1,0,2
224,19050,635,40.4752085,-3.689318,2807908098.0,28046.0,23,4,1,0,2
226,10875,725,40.4475385,-3.6562561,2807915148.0,28043.0,2,2,1,0,2
227,15240,762,40.4530221,-3.6944323,2807906029.0,28020.0,2,2,1,0,2
228,10083,602,40.416725,-3.6633525,2807903045.0,28007.0,9,2,1,0,2
229,10360,370,40.4606677,-3.6894837,2807906064.0,28046.0,21,2,1,0,2
231,18984,678,40.4600677,-3.6894837,2807906064.0,28046.0,15,2,1,0,2
233,10728,596,40.4496626,-3.6960245,2807906029.0,28020.0,1,0,1,0,2
234,13281,466,40.4618631,-3.6921026,2807906065.0,28046.0,4,4,1,0,2
235,2900,250,40.4732595,-3.6867376,2807905090.0,28046.0,0,2,1,0,2
236,10870,572,40.4540116,-3.6649044,2807905053.0,28016.0,2,4,1,0,2
245,1599,250,40.4404206,-3.6230278,2807920125.0,28037.0,5,1,1,0,2
275,13281,466,40.4635631,-3.6932026,2807906065.0,28046.0,4,0,1,0,2
276,9200,460,40.4609269,-3.6916646,2807906065.0,28020.0,3,2,1,0,2
280,4600,230,40.4634269,-3.6942646,2807906065.0,28020.0,3,2,1,0,2
283,4000,200,40.4613269,-3.6931646,2807906065.0,28020.0,1,2,1,0,2
